,,Barcode,Quantity,Item Name,Date,Company,Stock Take Code,Warehouse,Bin Location,, Count 2 , Count 3 , Count 4 , Count 5 ,
Company,,1115100110, 90.00 ,"BRICK RIB, 12 1/4"", REAMING STAB, DHE-03-240", 23102025 , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-03-01,45953.34306, -   , -   , -   ,  ,
MASTER DRILLING (PTY) LTD,,1116100220, 90.00 ,"PILOT STAB RIBS, 12 7/8/13”- 16”, STEMS, DHE-02-671", 23102025 , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-03-01,45953.34306, -   , -   , -   ,  ,
,,1029103040, 2.00 ,"SIGN, EMERGENCY EXIT, PHOTOLUMINESCENT, WITH FRAME AND LUGS", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-14-01,45953.34375, -   , -   , -   ,  ,
Warehouse,,1519115950, 1.00 ,"HOUSING, 1ST & 2ND RED, HG380-03-005", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-14-01,45953.34375, -   , -   , -   ,  ,
 WH01 ,,1510106380, 4.00 ,"BEARING,TAPERED ROLLER, 75 X 160 X 40, 31315, DIN 720", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-14-01,45953.34375, -   , -   , -   ,  ,
,,1515102360, 1.00 ,"FLOATBOX, STEP 1, CHUCK, RHI2-02-050", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-14-01,45953.34375, -   , -   , -   ,  ,
Date,,1017102110, 10.00 ,"AMC PLUG, 15KG, 5118500701", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-14-01,45953.34375, -   , -   , -   ,  ,
23102025,,1116100090, 147.00 ,"BRICK RIB, 16”, REAMING STAB, DHE-03-238", 23102025 , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-03-02,45953.34653, -   , -   , -   ,  ,
,,1116100160, 135.00 ,"BRICK RIB, 16"", REAMING STAB, DHE-03-462", 23102025 , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,G-03-03,45953.34931, -   , -   , -   ,  ,
,,1510100590, 2.00 ,"THRUST BEARING, SPHERICAL ROLLER, 29496", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,H-01-01,45953.35139, -   , -   , -   ,  ,
MASTER DRILLING (PTY) LTD23102025WH01,,1520101860, 2.00 ,"CHAIN BLOCK, 5 TN, 8m LIFT CHAIN, 12m HAND CHAIN", -   , MASTER DRILLING (PTY) LTD , MASTER DRILLING (PTY) LTD23102025WH01 , WH01 ,H-01-01,45953.35139, -   , -   , -   ,  ,
,,1510100100,22,"BEARING, SPHERICAL ROLLER, 22234, CC/W33",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-01,45953.35139, -   , -   , -   ,  ,
,,1510100560,6,"BEARING, ROLLER, 22314",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1519101920,4,,0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1522105190,8,,0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1526116420,2,"IMPACT ALLEN SOCKET, 2 1/2"" DRIVE 46MM",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,10,1522103600,2,"PIN 3, PIPE LOADER, LP100-14-152",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1519114110,2,"RING SHOE, CHUCK, LP100-02-056",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1526108700,1,"TOOL, HELICOIL INSTALLATION, M36 X 4",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1526108710,1,"TOOL, HELICOIL INSTALLATION, M30 X 3.5",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
