 Date ,Item number,Product name, On-hand ,Counted,Quantity, Cost price ,,,,,,,,,,,,
24/10/2025,1010100000,"NOZZLE, CUTTING, 0F HARRIS",,,,130.95,,44060071.11,,,,,,,,,,
24/10/2025,1010100090,"BRAZING ROD, 3.2mm",2.00,,,506.25,,,,2,,,,,,,,
24/10/2025,1010100100,"BRAZING ROD, 1.2mm",,,,555.04,,,,,,,,,,,,
24/10/2025,1010100110,"FLUX, BRAZING",5.00,,,84.02,,,,5,,,,,,,,
24/10/2025,1010100120,"DISC, BABY GRINDER, 115MM",,,,18.13,,,,,,,,,,,,
24/10/2025,1010100130,"CUTTING DISC, METAL, 115M",,,,13.26,,,,,,,,,,,,
24/10/2025,1010100140,"DISC, GRINDER, MEDIUM, 230",,,,38.00,,,,,,,,,,,,
24/10/2025,1010100160,"BRUSH, CUP WIRE, 5""",,,,0.00,,,,,,,,,,,,
24/10/2025,1010100180,"BRUSH, WIRE, COARSE, 5 ROW",12.00,,,43.77,,,,12,,,,,,,,
24/10/2025,1010100220,"DISC, FLAPPING, 115 MM",,,,37.60,,,,,,,,,,,,
24/10/2025,1010100240,BUTTERFLY HINGE,,,,16.32,,,,,,,,,,,,
24/10/2025,1010100290,"NOZZLE, SPRAY CLEANER, 220 GR",,,,0.00,,,,,,,,,,,,
24/10/2025,1010100300,"WELDING ROD, 3.15mm, GENERAL PURPOSE, MILD STEEL",4.00,,,318.17,,,,4,,,,,,,,
24/10/2025,1010100310,"WELDING ROD, 2.5mm, GENERAL PURPOSE, MILD STEEL",,,,346.04,,,,,,,,,,,,
24/10/2025,1010100320,"WELDING ROD, 4mm, GENERAL PURPOSE, MILD STEEL",,,,317.67,,,,,,,,,,,,
24/10/2025,1010100330,"WELDING ROD, 3.15mm, LH 7018-1",,,,326.91,,,,,,,,,,,,
24/10/2025,1010100340,"WELDING ROD, 3.25mm, STAINLESS STEEL, E312-16",,,,"1,374.84",,,,,,,,,,,,
24/10/2025,1010100350,"WELDING ROD, STAINLESS STEEL EN26",,,,0.00,,,,,,,,,,,,
24/10/2025,1010100360,"WELDING ROD, 4mm, LH 7018-1",,,,437.29,,,,,,,,,,,,
